,Ticker,Open Price,Date,Volume,Ticker2,Open Price2,Date2,Volume2
1380,BGFV,15.03,2022-03-02,41040902.97,BGFV,,,
1381,BGNE,152.0,2018-02-28,55323592.0,BGNE,135.01,2019-02-28,58607300.95999999
1382,BGNE,135.01,2019-02-28,58607300.95999999,BGNE,152.1,2020-02-28,67946568.3
1383,BGNE,159.94,2020-03-02,85268172.44,BGNE,318.62,2021-03-02,68507760.68
1384,BGNE,335.09,2021-02-25,144080322.75,BGNE,216.0,2022-02-25,47598624.0
1385,BGNE,205.64,2022-02-28,72990272.88,BGNE,,,
1386,BGS,27.55,2018-03-01,68569305.2,BGS,24.73,2019-03-01,55001102.72
1387,BGS,24.83,2019-02-26,63016528.769999996,BGS,14.06,2020-02-26,111439475.64
1388,BGS,14.06,2020-02-26,111439475.64,BGS,31.87,2021-02-25,72589852.82000001
1389,BGS,30.97,2021-03-02,69151829.05,BGS,29.0,2022-03-02,58910919.0
1390,BGS,29.5,2022-03-01,70803746.5,BGS,,,
1391,BGSF,16.86,2018-03-08,307964.76,BGSF,25.51,2019-03-08,1167159.03
1392,BGSF,26.41,2019-03-12,2488244.56,BGSF,12.33,2020-03-11,959175.36
1393,BGSF,13.51,2020-03-12,2165328.76,BGSF,15.49,2021-03-12,1208901.56
1394,BH,137.48,2019-03-01,1151532.48,BH,105.0,2020-03-02,1142610.0
1395,BH,105.0,2020-03-02,1142610.0,BH,124.86,2021-03-01,1467229.86
1396,BH,124.86,2021-03-01,1467229.86,BH,138.83,2022-03-01,1974856.7500000002
1397,BH,118.85,2022-02-28,1668772.8499999999,BH,,,
1398,BHC,17.54,2018-02-28,693077454.3199999,BHC,24.05,2019-02-28,114935719.60000001
1399,BHC,25.75,2019-02-20,563231011.75,BHC,26.22,2020-02-20,180528659.22
1400,BHC,26.46,2020-02-19,358401335.04,BHC,31.77,2021-02-18,127872883.89
1401,BHC,31.39,2021-02-24,170949374.98,BHC,21.52,2022-02-24,151585545.76
1402,BHC,22.81,2022-02-23,232247861.64,BHC,,,
1403,BHE,29.95,2018-03-01,7858580.5,BHE,27.59,2019-03-01,7668723.27
